year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,diversion_rate,avg_delay_minutes_per_flight,high_delay
2007,3,NW,Northwest Airlines Inc.,MOT,"Minot, ND: Minot International",93.0,38.0,18.13,0.0,12.68,0.0,7.19,4.0,0.0,1637.0,771.0,0.0,409.0,0.0,457.0,0.40860215053763443,0.043010752688172046,0.0,17.602150537634408,1
2005,12,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",49.0,14.0,6.0,1.0,4.0,0.0,3.0,2.0,1.0,1149.0,184.0,143.0,546.0,0.0,276.0,0.2857142857142857,0.04081632653061224,0.02040816326530612,23.448979591836736,1
2009,1,9E,Pinnacle Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",183.0,26.0,8.98,0.0,7.46,0.0,9.56,5.0,1.0,1468.0,657.0,0.0,212.0,0.0,599.0,0.14207650273224043,0.0273224043715847,0.00546448087431694,8.021857923497267,0
2010,11,MQ,American Eagle Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",220.0,22.0,10.95,2.21,4.22,0.0,4.62,1.0,0.0,1073.0,456.0,110.0,189.0,0.0,318.0,0.1,0.004545454545454545,0.0,4.877272727272727,0
2019,4,MQ,Envoy Air,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",30.0,2.0,0.5,0.0,1.29,0.0,0.21,0.0,0.0,77.0,17.0,0.0,53.0,0.0,7.0,0.06666666666666667,0.0,0.0,2.566666666666667,0
2020,9,PT,Piedmont Airlines,MDT,"Harrisburg, PA: Harrisburg International",132.0,9.0,6.08,0.02,1.0,0.0,1.9,0.0,0.0,448.0,237.0,2.0,21.0,0.0,188.0,0.06818181818181818,0.0,0.0,3.393939393939394,0
2015,10,UA,United Air Lines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",487.0,40.0,19.64,0.28,6.98,0.0,13.11,1.0,4.0,1657.0,670.0,20.0,197.0,0.0,770.0,0.08213552361396304,0.002053388090349076,0.008213552361396304,3.402464065708419,0
2007,11,OO,SkyWest Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,1.1904761904761905,0
2016,11,EV,ExpressJet Airlines Inc.,TYS,"Knoxville, TN: McGhee Tyson",442.0,88.0,27.19,0.31,34.56,0.0,25.94,7.0,1.0,6077.0,2277.0,20.0,1912.0,0.0,1868.0,0.19909502262443438,0.01583710407239819,0.0022624434389140274,13.748868778280542,0
2023,11,G4,Allegiant Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",9.0,3.0,1.0,0.0,1.32,0.0,0.68,0.0,0.0,161.0,118.0,0.0,26.0,0.0,17.0,0.3333333333333333,0.0,0.0,17.88888888888889,1
2003,6,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",507.0,26.0,13.0,1.0,5.0,2.0,5.0,2.0,0.0,1252.0,308.0,68.0,427.0,292.0,157.0,0.05128205128205128,0.0039447731755424065,0.0,2.4694280078895465,0
2022,6,YX,Republic Airline,ACK,"Nantucket, MA: Nantucket Memorial",70.0,11.0,2.75,0.0,3.83,0.0,4.42,3.0,2.0,588.0,143.0,0.0,171.0,0.0,274.0,0.15714285714285714,0.04285714285714286,0.02857142857142857,8.4,0
2021,1,YV,Mesa Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",92.0,7.0,5.88,0.0,0.12,0.0,1.0,3.0,0.0,264.0,237.0,0.0,7.0,0.0,20.0,0.07608695652173914,0.03260869565217391,0.0,2.869565217391304,0
2005,1,NW,Northwest Airlines Inc.,BIL,"Billings, MT: Billings Logan International",66.0,19.0,5.2,0.0,13.68,0.0,0.12,0.0,0.0,986.0,263.0,0.0,715.0,0.0,8.0,0.2878787878787879,0.0,0.0,14.93939393939394,1
2016,9,B6,JetBlue Airways,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",106.0,19.0,6.01,0.0,5.75,0.0,7.24,0.0,0.0,1088.0,421.0,0.0,267.0,0.0,400.0,0.1792452830188679,0.0,0.0,10.264150943396226,0
2025,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",446.0,90.0,17.35,0.81,25.39,0.0,46.45,17.0,0.0,5768.0,1207.0,86.0,1126.0,0.0,3349.0,0.20179372197309417,0.03811659192825112,0.0,12.932735426008968,1
2003,12,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1729.0,237.0,40.16,4.51,39.72,0.0,152.61,13.0,3.0,10060.0,1630.0,176.0,1282.0,0.0,6972.0,0.13707345286292655,0.007518796992481203,0.001735106998264893,5.818392134181608,0
2008,8,US,US Airways Inc.,MDT,"Harrisburg, PA: Harrisburg International",26.0,3.0,0.59,0.0,0.83,0.0,1.58,0.0,0.0,188.0,19.0,0.0,45.0,0.0,124.0,0.11538461538461539,0.0,0.0,7.230769230769231,0
2010,10,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5160.0,1305.0,307.86,41.82,294.43,6.92,653.98,37.0,24.0,61444.0,12732.0,4531.0,11700.0,158.0,32323.0,0.25290697674418605,0.007170542635658915,0.004651162790697674,11.907751937984496,1
2007,7,MQ,American Eagle Airlines Inc.,BOS,"Boston, MA: Logan International",990.0,238.0,48.37,10.08,109.44,0.27,69.84,47.0,3.0,17920.0,3560.0,1081.0,7827.0,8.0,5444.0,0.2404040404040404,0.047474747474747475,0.0030303030303030303,18.1010101010101,1
2021,10,YX,Republic Airline,ROC,"Rochester, NY: Greater Rochester International",120.0,12.0,5.84,1.0,2.46,0.0,2.69,0.0,0.0,875.0,463.0,177.0,93.0,0.0,142.0,0.1,0.0,0.0,7.291666666666667,0
